cluster	am	ar	br	ca	cp	da	hl	ho	mo	lo	ne	oy	pb	sa	sh	sm	ur	example
sgene169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
